,song_title,song_spotify_id,artists,date_gathered,popularity,album_name,album_release_date,album_spotify_id
0,TEXAS HOLD 'EM,0Z7nGFVCLfixWctgePsRk9,Beyoncé,2024-03-26,93,TEXAS HOLD 'EM,2024-02-11,6cBlaud5JVmPjkjxnwIMLx
1,16 CARRIAGES,3Fwebmu4BzPUpDtPZo0qHb,Beyoncé,2024-03-26,79,16 CARRIAGES,2024-02-09,6PeoltoiWQWCyWA0JBHVGN
2,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,Beyoncé,2024-03-26,67,BREAK MY SOUL,2022-06-21,5JgCaA43ECaGeqbPEo6WUP
3,MY HOUSE,7omJfT9s6V2IpQNBYyq5C8,Beyoncé,2024-03-26,71,MY HOUSE,2023-12-01,1H1ivGeE2LjPjE71OITTZs
4,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),6l8mgVN9Xf1hiDIFGA6CTE,"Beyoncé, Kendrick Lamar",2024-03-26,69,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2023-05-19,2x4aShbWkdZ1h8sfO23yZN
5,I'M THAT GIRL,1MpCaOeUWhox2Fgigbe1cL,Beyoncé,2024-03-26,70,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
6,COZY,0mKGwFMHzTprtS2vpR3b6s,Beyoncé,2024-03-26,70,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
7,ALIEN SUPERSTAR,1Hohk6AufHZOrrhMXZppax,Beyoncé,2024-03-26,73,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
8,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,2024-03-26,82,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
9,ENERGY (feat. Beam),0314PeD1sQNonfVWix3B2K,"Beyoncé, BEAM",2024-03-26,73,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
10,BREAK MY SOUL,5pyoxDZ1PX0KxBxiRVxA4U,Beyoncé,2024-03-26,74,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
11,CHURCH GIRL,2mqTtvbKxH7SoEQ2oGAnsA,Beyoncé,2024-03-26,66,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
12,PLASTIC OFF THE SOFA,6ufcuVInt0ocHrUimDjGlb,Beyoncé,2024-03-26,66,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
13,VIRGO'S GROOVE,0Fl4eWzVaMUOdXcOrj6F1q,Beyoncé,2024-03-26,67,RENAISSANCE,2022-07-29,6FJxoadUE4JNVwWHghBwnb
